local,marcador,ronda,temporada,visitante
Norwich,0 - 5,19,2021/2022,Arsenal
Tottenham,3 - 0,19,2021/2022,Crystal Palace
West Ham,2 - 3,19,2021/2022,Southampton
Aston Villa,1 - 3,19,2021/2022,Chelsea
Brighton,2 - 0,19,2021/2022,Brentford
Newcastle,1 - 1,19,2021/2022,Man United
Crystal Palace,3 - 0,20,2021/2022,Norwich
Southampton,1 - 1,20,2021/2022,Tottenham
Watford,1 - 4,20,2021/2022,West Ham
Leicester,1 - 0,20,2021/2022,Liverpool
Chelsea,1 - 1,20,2021/2022,Brighton
Brentford,0 - 1,20,2021/2022,Man City
Man United,3 - 1,20,2021/2022,Burnley
Arsenal,1 - 2,21,2021/2022,Man City
Watford,0 - 1,21,2021/2022,Tottenham
Crystal Palace,2 - 3,21,2021/2022,West Ham
Brentford,2 - 1,21,2021/2022,Aston Villa
Everton,2 - 3,21,2021/2022,Brighton
Leeds,3 - 1,21,2021/2022,Burnley
Chelsea,2 - 2,21,2021/2022,Liverpool
Man United,0 - 1,21,2021/2022,Wolves
Southampton,4 - 1,18,2021/2022,Brentford
West Ham,2 - 0,18,2021/2022,Norwich
Brighton,1 - 1,22,2021/2022,Crystal Palace
Man City,1 - 0,22,2021/2022,Chelsea
Newcastle,1 - 1,22,2021/2022,Watford
Norwich,2 - 1,22,2021/2022,Everton
Wolves,3 - 1,22,2021/2022,Southampton
Aston Villa,2 - 2,22,2021/2022,Man United
Liverpool,3 - 0,22,2021/2022,Brentford
West Ham,2 - 3,22,2021/2022,Leeds
Brighton,1 - 1,24,2021/2022,Chelsea
Leicester,2 - 3,17,2021/2022,Tottenham
Brentford,1 - 3,17,2021/2022,Man United
Watford,0 - 3,23,2021/2022,Norwich
Everton,0 - 1,23,2021/2022,Aston Villa
Brentford,1 - 2,23,2021/2022,Wolves
Leeds,0 - 1,23,2021/2022,Newcastle
Man United,1 - 0,23,2021/2022,West Ham
Southampton,1 - 1,23,2021/2022,Man City
